,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
1240,Manufacturing,Industrial Production,1 Post,First Shift (Day),Full Time/Permanent,"Korangi Industrial Area, Karachi, Pakistan",Male,Bachelors,0,Experienced Professional,0,"Nov 20, 2023","Oct 19, 2023",25 - 45 Years,,,https://www.rozee.pk/teot-tech-social-media-specialist-karachi-jobs-1431503?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431503&utm_campaign=ROZEE.PK_job_search
1241,Manufacturing,Merchandising,2 Posts,First Shift (Day),Full Time/Permanent,"Paris Road, Sialkot, Pakistan",No Preference,Bachelors,0,Experienced Professional,5 Years,"Dec 12, 2023","Nov 11, 2023",0,,,https://www.rozee.pk/sal-tech-lab-social-media-representative-karachi-jobs-1429285?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429285&utm_campaign=ROZEE.PK_job_search
1242,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"SITE Super Highway, Karachi, Pakistan",No Preference,Bachelors,Commerce,Entry Level,0,"Dec 11, 2023","Nov 10, 2023",20 - 25 Years,,,https://www.rozee.pk/snow-resort-pvt-ltd-social-media-officer-islamabad-jobs-1432979?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432979&utm_campaign=ROZEE.PK_job_search
1243,0,Merchandising,1 Post,First Shift (Day),Full Time/Permanent,"SITE Super Highway, Karachi, Pakistan",No Preference,Bachelors,BS in Textile/Merchandising,Experienced Professional,0,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/triflav-social-media-executive-karachi-jobs-1431567?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431567&utm_campaign=ROZEE.PK_job_search
1244,Manufacturing,Human Resources,1 Post,First Shift (Day),Full Time/Permanent,"Joyianwala More, Sheikhupura, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/blue-group-of-companies-social-media-expert-lahore-jobs-1428797?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428797&utm_campaign=ROZEE.PK_job_search
1245,Media/Communications,Software & Web Development,1 Post,Work from Home,Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,"Computer Science, Information Technology, or a related field.",Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/vgo-tel-mobiles-social-media-executive-karachi-jobs-1431309?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431309&utm_campaign=ROZEE.PK_job_search
1246,Media/Communications,"Accounts, Finance & Financial Services",4 Posts,Second Shift (Afternoon),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Masters,0,Experienced Professional,3 Years,"Dec 10, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/pixem-soft-social-media-executive-okara-jobs-1430553?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430553&utm_campaign=ROZEE.PK_job_search
1247,Media/Communications,Software & Web Development,10 Posts,Second Shift (Afternoon),Full Time/Permanent,"Sialkot Road, Gujranwala, Pakistan",Male,Bachelors,"BSIT, BSCS",Entry Level,1 Year,"Dec 10, 2023","Nov 09, 2023",20 - 27 Years,,,https://www.rozee.pk/smart-reach-solution-social-media-expert-islamabad-rawalpindi-jobs-1431549?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431549&utm_campaign=ROZEE.PK_job_search
1248,Media/Communications,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Quaid-e-Azam Industrial Estate, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/bilal-metals-private-limited-cost-accountant-karachi-jobs-1431467?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431467&utm_campaign=ROZEE.PK_job_search
1249,Media/Communications,Sales & Business Development,6 Posts,Third Shift (Night),Full Time/Permanent,"Raiwind Road, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,0,"Dec 09, 2023","Nov 08, 2023",18 - 30 Years,,,https://www.rozee.pk/bilal-metals-private-limited-production-manager-karachi-jobs-1425463?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425463&utm_campaign=ROZEE.PK_job_search
1250,Media/Communications,Human Resources,2 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 08, 2023","Nov 07, 2023",23 - 35 Years,,,https://www.rozee.pk/bilal-metals-private-limited-incharge-chemical-lab-karachi-jobs-1423213?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423213&utm_campaign=ROZEE.PK_job_search
