,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
1530,Food & Beverages,Hotel/Restaurant Management,1 Post,Second Shift (Afternoon),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Nov 26, 2023","Oct 26, 2023",35 - 50 Years,4 Years - 5 Years,,https://www.rozee.pk/job/detail/1429857?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429857&utm_campaign=ROZEE.PK_job_search
1531,Recruitment / Employment Firms,Hotel/Restaurant Management,1 Post,First Shift (Day),Full Time/Permanent,"Gulberg 2, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",0,2 Years - 4 Years (Preferable worked in tax department of a reputable firm),,https://www.rozee.pk/shaigan-pharmaceuticals-pvt-ltd-supply-chain-coordinator-rawalpindi-jobs-1429557?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429557&utm_campaign=ROZEE.PK_job_search
1532,Recruitment / Employment Firms,Hotel/Restaurant Management,1 Post,First Shift (Day),Full Time/Permanent,"Gulberg 2, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Experienced Professional,3 Years (Assistant restaurant manager/ Hospitality industry),"Dec 09, 2023","Nov 08, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/shaigan-pharmaceuticals-pvt-ltd-internal-audit-officer-rawalpindi-jobs-1429555?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429555&utm_campaign=ROZEE.PK_job_search
1533,0,Hotel/Restaurant Management,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Male,Bachelors,0,Experienced Professional,0,"Dec 08, 2023","Nov 07, 2023",0,1 Year - 3 Years,,https://www.rozee.pk/shaigan-pharmaceuticals-pvt-ltd-accountant-rawalpindi-jobs-1429551?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429551&utm_campaign=ROZEE.PK_job_search
1534,Recruitment / Employment Firms,Hotel/Restaurant Management,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Nov 24, 2023","Oct 23, 2023",0,1 Year - 3 Years,,https://www.rozee.pk/nutrifactor-receptionist-faisalabad-jobs-1429405?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429405&utm_campaign=ROZEE.PK_job_search
1535,Services,Hotel/Restaurant Management,20 Posts,Rotating,Full Time/Permanent,"Gujar Khan, Jhelum, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Nov 11, 2023","Oct 27, 2023",19 - 30 Years,5 Years - 6 Years (Training and development),,https://www.rozee.pk/bh-soalr-office-assistant-islamabad-jobs-1432751?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432751&utm_campaign=ROZEE.PK_job_search
1536,Real Estate/Property,Architects & Construction,3 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,"Bachelors in BSc. Urban, City & Regional Planning",Experienced Professional,"6 Years (06 Years of experience in design field, working with housing scheme developers as a Urban Planner)","Dec 14, 2023","Nov 13, 2023",0,1 Year - 3 Years,,https://www.rozee.pk/ice-consulting-noc-engineer-system-engineer-lahore-jobs-1431111?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431111&utm_campaign=ROZEE.PK_job_search
1537,Real Estate/Property,Architects & Construction,3 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,DAE in Architecture / Civil.,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/smart-energy-sense-compliance-executive-rawalpindi-jobs-1427051?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427051&utm_campaign=ROZEE.PK_job_search
1538,Real Estate/Property,Architects & Construction,3 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,Bachelor’s degree in City & Regional Planning,Entry Level,"Fresh (Fresh Graduate in BSc. City & Regional planning, with good understanding of Physical Master Planning of Housing Projects)","Dec 14, 2023","Nov 13, 2023",0,3 Years - 5 Years,,https://www.rozee.pk/iman-group-sales-coordinator-islamabad-jobs-1429491?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429491&utm_campaign=ROZEE.PK_job_search
1539,Real Estate/Property,Creative Design,4 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,BSc in City and Regional Planning.,Experienced Professional,3 Years (2 or more Years of experience in Physical Planning of Housing Schemes with city/township developer),"Dec 14, 2023","Nov 13, 2023",0,2 Years - 4 Years,,https://www.rozee.pk/sicom-traders-sales-executive-karachi-jobs-1428293?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428293&utm_campaign=ROZEE.PK_job_search
1540,Real Estate/Property,Telemarketing,3 Posts,First Shift (Day),Full Time/Permanent,"Shadman, Lahore, Pakistan",Female,Bachelors,0,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",20 - 30 Years,1 Year - 2 Years,,https://www.rozee.pk/dewmak-energy-private-limited-assistant-sales-manager-technical-sales-karachi-jobs-1429939?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429939&utm_campaign=ROZEE.PK_job_search
1541,Real Estate/Property,Telemarketing,3 Posts,First Shift (Day),Full Time/Permanent,"Lake City, Lahore, Pakistan",Female,Bachelors,BA BS,Entry Level,0,"Dec 08, 2023","Nov 13, 2023",25 - 30 Years,Fresh - 1 Year,,https://www.rozee.pk/i4-junction-pvt-ltd-design-engineer-lahore-jobs-1428859?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428859&utm_campaign=ROZEE.PK_job_search
1542,Real Estate/Property,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Qaboola Bazar, Arifwala, Pakistan",No Preference,Bachelors,B.Com / BBA,Entry Level,0,"Nov 22, 2023","Nov 13, 2023",21 - 30 Years,Fresh - 2 Years,,https://www.rozee.pk/tritek-energy-solutions-pvt-ltd-accounts-officer-lahore-jobs-1428513?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428513&utm_campaign=ROZEE.PK_job_search
1543,0,Sales & Business Development,1 Post,Work from Home,Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,"Bachelor’s Degree in Business Management, Marketing, Communications and the like",Experienced Professional,3 Years,"Dec 12, 2023","Nov 13, 2023",0,Fresh - 1 Year,,https://www.rozee.pk/mira-power-ltd-office-boy-islamabad-jobs-1427797?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427797&utm_campaign=ROZEE.PK_job_search
1544,Real Estate/Property,Marketing,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Female,Bachelors,0,Experienced Professional,0,"Nov 26, 2023","Nov 12, 2023",21 - 32 Years,3 Years - 5 Years,,https://www.rozee.pk/solar-ventures-pakistan-solar-electrician-karachi-jobs-1427569?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427569&utm_campaign=ROZEE.PK_job_search
1545,Real Estate/Property,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Gulrez Housing Society, Rawalpindi, Pakistan",Male,Bachelors,0,Experienced Professional,4 Years,"Dec 07, 2023","Nov 06, 2023",0,Less than 1 Year - 1 Year,,https://www.rozee.pk/solar-ventures-pakistan-marketing-executive-karachi-jobs-1427567?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427567&utm_campaign=ROZEE.PK_job_search
1546,Real Estate/Property,Telemarketing,2 Posts,First Shift (Day),Full Time/Permanent,"New Muslim Town, Lahore, Pakistan",Female,Intermediate/A-Level,0,Experienced Professional,2 Years,"Dec 11, 2023","Nov 10, 2023",18 - 24 Years,1 Year - 5 Years,,https://www.rozee.pk/hm-enterprises-receptionist-faisalabad-jobs-1427297?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427297&utm_campaign=ROZEE.PK_job_search
1547,Real Estate/Property,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Rawalpindi, Pakistan",Female,Bachelors,0,Entry Level,Fresh,"Dec 09, 2023","Nov 08, 2023",20 - 30 Years,2 Years - 4 Years,,https://www.rozee.pk/middle-east-automation-controls-services-receptionist-lahore-jobs-1426985?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426985&utm_campaign=ROZEE.PK_job_search
1548,0,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 09, 2023","Nov 08, 2023",0,Fresh - 1 Year,,https://www.rozee.pk/gul-ahmed-energy-executive-secretary-karachi-jobs-1423775?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423775&utm_campaign=ROZEE.PK_job_search
1549,Real Estate/Property,Data Entry,1 Post,First Shift (Day),Full Time/Permanent,"Gulrez Housing Society, Rawalpindi, Pakistan",Male,Intermediate/A-Level,0,Experienced Professional,4 Years,"Dec 07, 2023","Nov 06, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/premier-home-pvt-ltd-web-administrator-shopify-magento-lahore-jobs-1423189?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423189&utm_campaign=ROZEE.PK_job_search
1550,Real Estate/Property,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Masters,Marketing,Experienced Professional,0,"Dec 01, 2023","Nov 08, 2023",30 - 43 Years,1 Year - 4 Years,,https://www.rozee.pk/ansaar-management-company-pvt-limited-land-records-specialist-lahore-jobs-1429909?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429909&utm_campaign=ROZEE.PK_job_search
1551,0,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,"Sargodha-Faisalabad Road, Sargodha, Pakistan",Male,Bachelors,0,Entry Level,1 Year,"Dec 08, 2023","Nov 07, 2023",0,1 Year - 2 Years,,https://www.rozee.pk/ansaar-management-company-pvt-limited-junior-civil-engineer-lahore-jobs-1428245?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428245&utm_campaign=ROZEE.PK_job_search
1552,Real Estate/Property,Architects & Construction,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Male,Diploma,0,Experienced Professional,10 Years,"Dec 08, 2023","Nov 07, 2023",25 - 40 Years,3 Years - 5 Years,,https://www.rozee.pk/ansaar-management-company-pvt-limited-procurement-manager-lahore-jobs-1429521?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429521&utm_campaign=ROZEE.PK_job_search
1553,Real Estate/Property,Administration,1 Post,First Shift (Day),Full Time/Permanent,"Gulrez Housing Society, Rawalpindi, Pakistan",Male,Bachelors,0,Experienced Professional,4 Years,"Dec 07, 2023","Nov 06, 2023",0,1 Year - 3 Years,,https://www.rozee.pk/kh-group-executive-operations-agriculture-karachi-jobs-1429645?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429645&utm_campaign=ROZEE.PK_job_search
1554,0,Sales & Business Development,6 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Dec 08, 2023","Nov 07, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/ansaar-management-company-pvt-limited-data-science-data-mining-specialist-construction-survey-manager-lahore-jobs-1428243?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428243&utm_campaign=ROZEE.PK_job_search
1555,Real Estate/Property,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Male,Bachelors,0,Entry Level,Less than 1 Year,"Nov 21, 2023","Nov 07, 2023",22 - 27 Years,Less than 1 Year - 2 Years,,https://www.rozee.pk/zaf-group-senior-accounts-manager-assistant-accounts-islamabad-swabi-jobs-1426637?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426637&utm_campaign=ROZEE.PK_job_search
1556,Recruitment / Employment Firms,"Secretarial, Clerical & Front Office",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",0,Fresh - 4 Years,,https://www.rozee.pk/ansaar-management-company-pvt-limited-assistant-store-incharge-lahore-jobs-1425569?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425569&utm_campaign=ROZEE.PK_job_search
1557,Recruitment / Employment Firms,Legal Affairs,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",0,Fresh - Less than 1 Year,,https://www.rozee.pk/work-work-pvt-ltd-data-entry-operator-lahore-jobs-1423571?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423571&utm_campaign=ROZEE.PK_job_search
1558,Recruitment / Employment Firms,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,"3 Years (lead generation ads on Google, Facebook, and TikTok)","Dec 14, 2023","Nov 13, 2023",0,3 Years - 4 Years,,https://www.rozee.pk/zaf-group-fleet-manager-islamabad-jobs-1423251?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423251&utm_campaign=ROZEE.PK_job_search
1559,Recruitment / Employment Firms,"Accounts, Finance & Financial Services",3 Posts,First Shift (Day),Full Time/Permanent,"Shah Alami Road, Lahore, Pakistan",No Preference,Masters,b.com/m.com/ACCA,Department Head,0,"Dec 14, 2023","Nov 13, 2023",0,Fresh - 1 Year,,https://www.rozee.pk/tier-link-hr-officer-rawalpindi-jobs-1423609?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423609&utm_campaign=ROZEE.PK_job_search
1560,Recruitment / Employment Firms,Advertising,1 Post,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",No Preference,Masters,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/baheer-printing-packaging-co-ltd-finance-manager-islamabadkarachilahorefaisalabadgujranwala-jobs-1426367?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426367&utm_campaign=ROZEE.PK_job_search
1561,Recruitment / Employment Firms,Sales & Business Development,1 Post,Hybrid Work Model,Full Time/Permanent,"Islamabad, Faisalabad, Hyderabad, Peshawar, Rawalpindi, Pakistan",Male,0,0,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",0,2 Years - 4 Years,,https://www.rozee.pk/baheer-printing-packaging-co-ltd-corrugation-industrial-electrician-islamabadkarachilahorefaisalabadgujranwalahyderabad-jobs-1424589?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424589&utm_campaign=ROZEE.PK_job_search
1562,Recruitment / Employment Firms,Software & Web Development,1 Post,Second Shift (Afternoon),Full Time/Permanent,"Sialkot, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 02, 2023","Nov 01, 2023",0,1 Year - 6 Years,,https://www.rozee.pk/baheer-printing-packaging-co-ltd-senior-flexographic-designer-islamabadkarachilahorefaisalabadgujranwalahyderabad-jobs-1424591?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424591&utm_campaign=ROZEE.PK_job_search
1563,Recruitment / Employment Firms,Hotel/Restaurant Management,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Intermediate/A-Level,CHEF Diploma,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",0,3 Years - 8 Years,,https://www.rozee.pk/baheer-printing-packaging-co-ltd-corrugation-production-manager-islamabadkarachilahorefaisalabadgujranwalahyderabad-jobs-1424585?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424585&utm_campaign=ROZEE.PK_job_search
1564,Recruitment / Employment Firms,Maintenance/Repair,30 Posts,First Shift (Day),Contract,"Gulberg 5, Lahore, Pakistan",Male,Diploma,0,Experienced Professional,7 Years,"Nov 19, 2023","Nov 08, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/pakistan-printing-equipment-company-pvt-ltd-it-system-administrator-karachi-jobs-1425143?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425143&utm_campaign=ROZEE.PK_job_search
1565,Recruitment / Employment Firms,Marketing,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore, Pakistan",No Preference,Bachelors,"Bachelor’s degree in Marketing, Business, or a related field (Master’s degree preferred).",Experienced Professional,2 Years,"Dec 12, 2023","Nov 12, 2023",0,Fresh - 2 Years,,https://www.rozee.pk/pakistan-air-force-women-association-art-craft-instructor-lahore-jobs-1429959?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429959&utm_campaign=ROZEE.PK_job_search
1566,Recruitment / Employment Firms,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 13, 2023","Nov 12, 2023",0,2 Years - 3 Years (Exposure to Procurement / Supply Chain Management /Demand Planning is desirable),,https://www.rozee.pk/interloop-limited-senior-officer-ie-cutting-knitting-dyeing-stitching-faisalabad-jobs-1431857?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431857&utm_campaign=ROZEE.PK_job_search
1567,Recruitment / Employment Firms,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Faisalabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 13, 2023","Nov 12, 2023",0,1 Year - 4 Years,,https://www.rozee.pk/forta-industries-pvt-ltd-sampling-incharge-garment-technician-sialkot-jobs-1422415?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1422415&utm_campaign=ROZEE.PK_job_search
1568,Recruitment / Employment Firms,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 13, 2023","Nov 12, 2023",0,Less than 1 Year - 10 Years,,https://www.rozee.pk/munawar-publishers-sales-promotion-officer-mardan-jobs-1428913?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428913&utm_campaign=ROZEE.PK_job_search
1569,Recruitment / Employment Firms,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 13, 2023","Nov 12, 2023",0,2 Years - 3 Years (NEBOSH / Health & Safety Certification),,https://www.rozee.pk/wali-laminates-pvt-ltd-sweeper-lahore-jobs-1433175?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433175&utm_campaign=ROZEE.PK_job_search
1570,Recruitment / Employment Firms,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore, Pakistan",No Preference,Bachelors,"Bachelor’s degree in Business, Marketing, or a related field.",Experienced Professional,2 Years,"Dec 12, 2023","Nov 12, 2023",0,"2 Years - 5 Years (OCP (DBA, R12 track) training is must & certification will be preferred)",,https://www.rozee.pk/hassan-corp-script-writer-lahore-jobs-1432783?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432783&utm_campaign=ROZEE.PK_job_search
1571,Recruitment / Employment Firms,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore, Pakistan",No Preference,Bachelors,"Degree Title: BBA, MBA, BS Accounting, M. Com, ACCA, CMA",Experienced Professional,2 Years,"Dec 12, 2023","Nov 12, 2023",0,10 Years - 13 Years,,https://www.rozee.pk/media-signs-llc-graphic-designer-islamabad-faisalabad-gujranwala-karachi-lahore-jobs-1432317?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432317&utm_campaign=ROZEE.PK_job_search
1572,Recruitment / Employment Firms,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,Accounting,Experienced Professional,5 Years,"Dec 09, 2023","Nov 10, 2023",0,Fresh - 1 Year (Experience related customer relationship is a plus.),,https://www.rozee.pk/media-signs-llc-social-media-marketer-islamabad-faisalabad-karachi-lahore-jobs-1432039?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432039&utm_campaign=ROZEE.PK_job_search
1573,Recruitment / Employment Firms,Client Services & Customer Support,5 Posts,Third Shift (Night),Full Time/Permanent,"DHA, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 17, 2023","Oct 16, 2023",0,10 Years - 13 Years,,https://www.rozee.pk/media-signs-llc-seo-specialist-islamabad-faisalabad-karachi-lahore-multan-rawalpindi-jobs-1432037?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432037&utm_campaign=ROZEE.PK_job_search
1574,Recruitment / Employment Firms,Client Services & Customer Support,8 Posts,Third Shift (Night),Full Time/Permanent,"Jail Road, Lahore, Pakistan",Male,Matriculation/O-Level,0,Experienced Professional,2 Years,"Dec 09, 2023","Nov 10, 2023",0,5 Years - 10 Years,,https://www.rozee.pk/media-signs-llc-content-marketing-specialist-islamabad-faisalabad-gujranwala-karachi-lahore-multan-rawalpindi-jobs-1432035?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432035&utm_campaign=ROZEE.PK_job_search
1575,Recruitment / Employment Firms,Database Administration (DBA),1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,BS in CS/ stats,Experienced Professional,"3 Years (3 Year's of Experience in Relevant Field. (﻿LEAD GENERATION, HVAC (HEATING, VENTILATION, AIR-CONDITIONING))","Dec 11, 2023","Nov 10, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/media-signs-llc-content-writer-islamabad-karachi-lahore-jobs-1432031?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432031&utm_campaign=ROZEE.PK_job_search
1576,Engineering,Retail,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Female,Intermediate/A-Level,0,Entry Level,Less than 1 Year,"Nov 26, 2023","Oct 25, 2023",0,1 Year - 6 Years,,https://www.rozee.pk/gaba-education-receptionist-karachi-jobs-1431945?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431945&utm_campaign=ROZEE.PK_job_search
1577,Distribution and Logistics,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",Male,Bachelors,Bachelor's or Master's Degree in Accounting or Finance,Experienced Professional,6 Years,"Dec 12, 2023","Nov 11, 2023",0,8 Years - 12 Years (non-denim fabric sourcing & development experience),,https://www.rozee.pk/hassan-corp-script-writer-peshawar-jobs-1430379?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430379&utm_campaign=ROZEE.PK_job_search
1578,Recruitment / Employment Firms,Retail,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Male,Bachelors,0,Entry Level,1 Year,"Dec 04, 2023","Nov 03, 2023",0,1 Year - 4 Years,,https://www.rozee.pk/ah-prints-accountant-lahore-jobs-1430209?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430209&utm_campaign=ROZEE.PK_job_search
1579,Banking/Financial Services,Retail,1 Post,First Shift (Day),Full Time/Permanent,"All Cities, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Nov 27, 2023","Oct 26, 2023",18 - 31 Years,2 Years - 3 Years,,https://www.rozee.pk/media-signs-llc-shopify-developer-islamabad-faisalabad-gujranwala-karachi-lahore-multan-rawalpindi-rahimyar-khan-jobs-1430275?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430275&utm_campaign=ROZEE.PK_job_search
1580,0,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Nov 15, 2023","Oct 16, 2023",0,1 Year - 2 Years,,https://www.rozee.pk/media-signs-llc-content-strategy-marketing-specialist-islamabad-faisalabad-gujranwala-karachi-lahore-multan-rawalpindi-jobs-1430261?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430261&utm_campaign=ROZEE.PK_job_search
1581,Retail,Retail,21 Posts,First Shift (Day),Full Time/Permanent,"DHA, Karachi, Pakistan",Male,Bachelors,Bachelor's in business management,Experienced Professional,"3 Years (The candidate should have worked with Supermarkets, Stores, Any Retails Functional.)","Nov 14, 2023","Oct 13, 2023",30 - 50 Years,5 Years - 10 Years,,https://www.rozee.pk/kbm-group-student-counsellor-karachi-lahore-jobs-1429757?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429757&utm_campaign=ROZEE.PK_job_search
1582,Retail,Sales & Business Development,3 Posts,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Pakistan",Female,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 20, 2023","Nov 14, 2023",0,1 Year - 2 Years,,https://www.rozee.pk/munawar-publishers-sales-promotion-officer-mardan-jobs-1428913?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428913&utm_campaign=ROZEE.PK_job_search
1583,Retail,Creative Design,2 Posts,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Rawalpindi, Pakistan",Female,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 29, 2023","Nov 14, 2023",20 - 40 Years,Less than 1 Year - 2 Years,,https://www.rozee.pk/media-signs-llc-digital-marketing-specialist-islamabad-faisalabad-karachi-lahore-jobs-1428251?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428251&utm_campaign=ROZEE.PK_job_search
1584,Retail,Retail,1 Post,First Shift (Day),Full Time/Permanent,"Gulshan-e-Hadeed, Karachi, Pakistan",No Preference,Bachelors,0,Entry Level,Fresh (Experience in the Furniture/Interior industry will be a plus.),"Dec 09, 2023","Nov 08, 2023",0,Less than 1 Year - 2 Years,,https://www.rozee.pk/grapho-scan-supplies-pvt-limited-technical-support-engineer-lahore-jobs-1427929?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427929&utm_campaign=ROZEE.PK_job_search
1585,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Male,Intermediate/A-Level,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,5 Years - 10 Years,,https://www.rozee.pk/takhleeq-publications-marketing-manager-lahore-jobs-1427393?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427393&utm_campaign=ROZEE.PK_job_search
1586,Retail,"Secretarial, Clerical & Front Office",1 Post,First Shift (Day),Full Time/Permanent,"P.E.C.H.S, Karachi, Pakistan",No Preference,Intermediate/A-Level,0,Experienced Professional,2 Years,"Dec 12, 2023","Nov 12, 2023",0,2 Years - 4 Years,,https://www.rozee.pk/baheer-printing-packaging-co-ltd-finance-manager-islamabadkarachilahorefaisalabadgujranwala-jobs-1426367?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426367&utm_campaign=ROZEE.PK_job_search
1587,Retail,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"P.E.C.H.S, Karachi, Pakistan",No Preference,Matriculation/O-Level,0,Entry Level,1 Year,"Dec 12, 2023","Nov 12, 2023",0,Less than 1 Year - 1 Year,,https://www.rozee.pk/media-signs-llc-seo-specialist-islamabad-faisalabad-karachi-lahore-multan-rawalpindi-jobs-1425733?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425733&utm_campaign=ROZEE.PK_job_search
